
  CSI 1100A UNOFFICIAL MARKS
  ==========================
Student #       EXAM    GRADE
428500          92      A+
453112          --      A+
470133          87      A+
500849          83      A-
512101          92      A+
544217          55      D+
642345          95      A+
665400          89      A+
672313          --      DR
743627          64      C+
880942          87      A+
1002239         68      B
1017759         78      A-
1018909         51      D
1091302         63      C+
1102381         73      B+
1114500         69      B+
1207189         84      A
1389875         81      A
1391470         --      B+
1447811         15      F
1483022         --      DR
1494341         97      A+
1498203         82      A
1512125         92      A+
1512679         66      B
1533807         20      F
1587688         87      A
1593706         70      B+
1596277         26      F
1606033         90      A-
1672470         89      A+
1697453         90      A+
1697676         33      F
1702651         73      A-
1702697         93      A+
1708101         55      D+
1710232         95      A+
1712132         43      E
1714620         68      C+
1715816         --      ABS
1717958         96      A+
1718519         82      A
1721792         69      B
1723282         97      A+
1724192         94      A+
1726083         47      E
1726430         98      A+
1731175         96      A+
1731647         96      A+
1731736         90      A+
1734975         89      A+
1738953         82      A
1739113         99      A+
1741360         83      A
1742083         83      B+
1743215         97      A+
1743625         88      A
1745044         97      A+
1747836         88      A
1747970         97      A+
1748292         41      E
1753757         35      F
1753855         80      A-
1756521         94      A+
1757913         97      A+
1761855         85      A+
1766501         96      A
1768590         88      A+
1769973         84      A
1771158         82      A
1771620         64      C+
1773600         88      A
1775109         77      B+
1775494         83      A
1776322         --      DR
1777330         84      A
1779882         73      B+
1780068         46      E
1780889         75      B+
1780932         43      E
1794810         88      A
1795757         91      A+
1800509         85      A-
1802909         10      F
1803695         79      B
1804612         --      DR
1805167         --      DR
1805862         85      A
1806013         76      B+
1806380         77      C
1806718         95      A+
1808814         67      B
1810847         92      A+
1811150         97      A+
1814638         58      C
1815138         --      DR
1819287         91      A+
1820140         --      DR
1826689         86      A
1829070         84      A
1831780         78      A-
1834849         97      A+
1834965         93      A+
1835875         96      A+
1837819         --      ABS
1838603         92      A+
1841485         85      A
1844990         86      A
1849691         98      A+
1849904         58      C
1854256         98      A+
1857397         90      A+
1858421         94      A+
1862318         --      DR
1867484         86      A
1871111         87      A+
1873128         85      A
1875894         96      A+
1877623         95      A+
1877927         76      A-
1880815         85      A
1889488         64      C+
