
   CSI 1100B UNOFFICIAL MARKS
   ==========================
Student #       EXAM    GRADE
59230           --      DR
60724           90      A+
500209          --      ABS
549590          53      D
635104          92      A+
642148          37      F
668854          74      B+
679527          81      A-
690469          19      F
723738          --      DR
730837          51      D
779562          63      C+
779580          91      A+
839356          91      A+
845367          70      B
876261          98      A+
968340          00      INC
968910          61      C+
979356          89      A
1021744         90      A+
1021780         81      A-
1022565         92      A+
1022887         96      A+
1081037         70      B+
1108456         --      DR
1114412         65      C+
1172251         59      C
1236692         84      A
1253681         73      B+
1256740         80      A-
1256875         56      D+
1257026         86      A
1284862         37      F
1308123         --      DR
1327095         --      DR
1330287         90      A+
1336959         68      B
1337592         89      A-
1340196         00      INC
1367568         --      AUD
1379680         81      A
1402510         --      DR
1421928         --      DR
1442914         59      C
1453698         30      F
1492469         77      B+
1501093         96      A+
1510724         80      A-
1512615         58      C
1512955         77      A-
1518398         84      B
1522061         92      A+
1535743         92      A+
1535958         98      A+
1537395         59      C
1539142         1       F
1540121         83      A
1541674         77      B+
1544993         --      DR
1550128         88      A
1579562         85      A
1580783         93      A+
1600798         89      A
1609021         93      A+
1625370         75      B+
1654622         92      A+
1671293         95      A+
1671710         98      A+
1672595         99      A+
1702312         77      A-
1707674         65      C+
1720267         88      A+
1721051         92      A+
1722416         60      C
1724316         81      A
1725618         67      B
1725958         47      E
1726065         84      A
1727386         40      E
1727509         20      F
1730327         98      A+
1731424         80      A-
1732165         52      D
1732860         59      C
1732968         59      C
1733538         66      B
1733823         9       F
1734118         87      A
1734207         95      A+
1735215         40      E
1735288         14      F
1735340         70      B
1736562         --      DR
1737080         43      E
1739462         95      A+
1739514         97      A+
1740174         79      A-
1740717         20      F
1741654         --      DR
1742813         27      F
1743000         98      A+
1743073         89      A+
1743359         71      B+
1745767         30      F
1747881         75      B+
1748489         --      ABS
1748826         --      ABS
1749683         72      B+
1749692         00      INC
1750643         47      E
1751492         91      A+
1751937         95      A+
1752473         6       F
1762195         --      ABS
1762667         90      A+
1768830         70      B
1769508         61      D+
1773325         7       F
1773343         --      DR
1773815         44      E
1775396         71      B
1777376         98      A+
1777651         --      ABS
1780022         55      D+
1780246         93      A+
1780406         --      DR
1781101         --      DR
1784411         20      F
1785330         --      B+
1786295         80      A-
1789728         00      INC
1792518         45      E
1793964         1       F
1794026         71      B
1796239         --      DR
1799628         --      ABS
1799780         --      DR
1802348         00      INC
1803622         85      A
1808039         85      A
1808253         91      A+
1813238         --      ABS
1815076         52      D
1820471         --      ABS
1821256         23      F
1823799         92      A+
1826778         --      DR
1827848         85      A+
1828286         --      DR
1828570         54      D
1837249         00      INC
1843063         36      F
1847069         --      DR
1847087         --      DR
1847185         61      C+
1848040         90      A+
1851543         40      E
1852052         96      A+
1852926         73      B
1855585         79      A-
1867199         67      C+
1872913         29      F
1878418         82      A-
1889488         --      ABS
1890145         00      INC
