Sn         A1/60   A2/60   A3/60  midterm
------     -----   -----   -----  -------
428500      59      60      57      94
438512      53.5    50      53.5    60
453112      57      58.5    60     100
470789      57.5    58      60      97.5
555104      53.5    53.5    58      76.5
568831      51      54      54.5    94
602404      50.5    50      59      71
607244       -       -       -       -
668652      55.5    58      54      79.5
686241      30.5    30      48      68
688584       -       -       -       -
779580      50      56      49.5    58.5
862454      48.5    38      -       62.5
885386      56.5    57.5    57.5    62.5
900699      53.5    31      29      62.5
941020      56.5    58      57      90.5
996186      55      58      50      66.5
1001677     54      22      58      82.5
1091302     48      43      50      52
1257240     45      46      55      65.5
1280642     57.5    59      57.5    94
1289590     49.5    37.5    55      74
1296396     49.5    39      59      81
1375050     44.5    41      54      46.5
1379680     51      58      57      55
1402342     47.5    58      45      82
1464766     52      57      56      81.5
1491264     37.5    44      43      69.5
1493752     51.5    53      57      63
1497856     46      56.5    56      66.5
1534030     55      55      44      79
1536136     45      45      51.5    61
1540602     56      56      48      67.5
1542806     39.5    47      41      68.5
1545554      -       -       -       -
1549836     42      49.5    57      75
1550066     51.5    49      56      87
1552821     54      60      14      81.5
1555301     54      60      54      64
1569626     52.5    60      57      92
1587688     51      54      55      75
1596856      -       -      20      81
1601751     55.5    58      58      75
1609174     53.5    52      56      89.5
1609343     53.5    60      59      89.5
1623050     48.5    30      36      60
1632549     53      59      59      53.5
1672470     55.5    53      57      98
1697676     30.5    41      57      64.5
1707674     51      56      58      67.5
1710232     41.5    54      50      79
1716897     12.5    -       -       -
1717958     53.5    54      56      89
1718519     50      47.5     -      69
1723282     57.5    53      60      89
1724192     45      47      56      87
1726083     52      57      58      83.5
1726430     58      60      55      96
1731736     58.5    59      58      90
1741360     -       -       56      41.5
1743359     52      50      54      58
1747836     41.5    50      51.5    64.5
1755274     49.5    50      58      94
1758360     57      50      54.5    98
1768590     53      59      60      95
1773600     48      38      58      60.5
1780068     52.5    52.5    33      64.5
1785330     50      49      60      86.5
1794026     42.5    56      52      76.5
1794810     25      42      44      39
1811150     48.5    38      45      68
1814200     53.5    57      58      87.5
1815138     46.5    54      55.5    63.5
1827848     53.5    -       53      91.5
1829070     52      56      57.5    87
1831780     44      49      54      81
1844990     37.5    51      58      86
1848273     47.5    59      44      69.5
1849478     58      58      58.5    90
1852052     55.5    51      58      97.5
1854256     37      51      58      75
1867484     46      56      57      64
1875108     45      44.5    55      76.5
1877749     44.5    58      57      74
1879480      -       -       -       -
1881654     52.5    57      55      79.5
1881734     56      60      59      96
1927650     47.5    37      52      51.5
2125015     58      53      59      95
2136236     53      52      55      95
2222286     53.5    58      59      72.5
2449942     55      54      55      65
2451386     52.5    57.5    47      64.5
