StdNumb	Exam	Mark
428500	94	A+
453112	90	A+
516876	66	B+
528340	66	B+
602404	64	B+
635104		INC
638083	56	C+
658382		ABS
672715	68	D 
673125	68	A-
730873	56	C+
760162	66	B+
785289	60	B 
837679	82	A
1002382	84	A
1007984	26	E 
1042062	72	B+
1052210	74	A-
1070897	60	B+
1073242	68	B+
1091302	62	B 
1109419	48	D 
1110041		ABS
1112263		ABS
1231544	82	A
1243700	62	B+
1257240	64	B
1264232	44	D 
1269111	60	B+
1274347	72	A 
1280642	94	A+
1285380	66	B+
1292522	46	C+
1293638	30	D 
1295636		INC
1296396	62	B
1310432	52	C 
1319594	66	C
1321670	76	A
1374916	54	C
1379680		INC
1389875	64	B
1402342	64	B+
1433791	94	A+
1435913	76	A-
1439713	66	B+
1448927	44	D 
1453803	62	B+
1459120	52	E
1481293	66	B+
1483656	66	B
1486939	64	B+
1496161	74	B+
1497801	68	B
1497856	72	B+
1498016	62	B+
1498686	70	B+
1500557	46	F 
1501011	88	A+
1511037	66	B+
1511082	68	B+
1512679	62	B
1518085	72	A-
1519093	38	D 
1519191	58	B
1521605	62	B+
1526012	60	D+
1531480	68	B+
1533852	78	A
1535351		ABS
1536555	64	B
1538526	68	B+
1539071	50	C 
1539179	48	D 
1540443	68	B+
1542101	36	D 
1542806	60	B
1545448	60	B+
1545992	62	B
1546241	72	B+
1546884	78	A
1548043	70	B+
1551234		INC
1557835	78	A
1570785	64	B
1572239	66	B+
1581274	94	A+
1591824	56	C
1604758	64	B
1607755	68	C+
1609174		ABS
1609600		INC
1619163	52	C
1623675		ABS
1626280	90	A+
1630211		INC
1637152	54	B
1667921	66	B+
1677215	62	B
1707674	68	A-
1753757	32	D 
1773600	40	C+
1782128	94	A+
1792457	66	B 
1810847		ABS
1811793	76	A-
1812890	78	A- 
1842028	70	B+
1848273	68	A-
1849691	96	A+
1865397	68	B+
1867484	66	B+
1871111	44	D 
1879159	58	B
1880815	58	B
1881654	74	B+
1896657	58	B
1930316	86	A+
1940341	64	B
2100372	50	C+
2103841	78	A
2112181	72	A-
2136236	70	A-
2171919	78	A
2400057	58	C+
2408932	60	B+
2409398		ABS

Average	65.2


