7.2.6 mu	C2	C3	7.2.6 K(mu)	7.2.6(e)	Control	Experimental	Difference	Control - 400	Experimental - 400	Ctrl > 400	Expr > 400	C21	7.2.4  mu	C23	C24	C25	7.2.4  K(mu)
6.000000000e+002	6.894000000e+001	2.462142857e+000	9.930945178e-001	4.250000000e+002	3.800000000e+002	3.610000000e+002	1.900000000e+001	-2.000000000e+001	-3.900000000e+001	0.000000000e+000	0.000000000e+000	7.000000000e+002	7.000000000e+001	1.300000000e+001	6.500000000e+000	1.000000000e+000	4.015998645e-011
6.010000000e+002	6.794000000e+001	2.426428571e+000	9.923758742e-001	7.100000000e+002	3.210000000e+002	4.470000000e+002	-1.260000000e+002	-7.900000000e+001	4.700000000e+001	0.000000000e+000	1.000000000e+000	7.010000000e+002	7.010000000e+001	1.290000000e+001	6.450000000e+000	9.999999999e-001	5.592504237e-011
6.020000000e+002	6.694000000e+001	2.390714286e+000	9.915921834e-001	6.610000000e+002	3.660000000e+002	4.010000000e+002	-3.500000000e+001	-3.400000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	7.020000000e+002	7.020000000e+001	1.280000000e+001	6.400000000e+000	9.999999999e-001	7.768852228e-011
6.030000000e+002	6.594000000e+001	2.355000000e+000	9.907386472e-001	6.640000000e+002	3.560000000e+002	3.750000000e+002	-1.900000000e+001	-4.400000000e+001	-2.500000000e+001	0.000000000e+000	0.000000000e+000	7.030000000e+002	7.030000000e+001	1.270000000e+001	6.350000000e+000	9.999999999e-001	1.076574385e-010
6.040000000e+002	6.494000000e+001	2.319285714e+000	9.898102252e-001	7.320000000e+002	2.830000000e+002	4.340000000e+002	-1.510000000e+002	-1.170000000e+002	3.400000000e+001	0.000000000e+000	1.000000000e+000	7.040000000e+002	7.040000000e+001	1.260000000e+001	6.300000000e+000	9.999999999e-001	1.488228429e-010
6.050000000e+002	6.394000000e+001	2.283571429e+000	9.888016347e-001	7.140000000e+002	3.490000000e+002	4.030000000e+002	-5.400000000e+001	-5.100000000e+001	3.000000000e+000	0.000000000e+000	1.000000000e+000	7.050000000e+002	7.050000000e+001	1.250000000e+001	6.250000000e+000	9.999999998e-001	2.052263914e-010
6.060000000e+002	6.294000000e+001	2.247857143e+000	9.877073496e-001	9.340000000e+002	4.020000000e+002	3.930000000e+002	9.000000000e+000	2.000000000e+000	-7.000000000e+000	1.000000000e+000	0.000000000e+000	7.060000000e+002	7.060000000e+001	1.240000000e+001	6.200000000e+000	9.999999997e-001	2.823158374e-010
6.070000000e+002	6.194000000e+001	2.212142857e+000	9.865216022e-001	7.610000000e+002	4.620000000e+002	4.260000000e+002	3.600000000e+001	6.200000000e+001	2.600000000e+001	1.000000000e+000	1.000000000e+000	7.070000000e+002	7.070000000e+001	1.230000000e+001	6.150000000e+000	9.999999996e-001	3.874147669e-010
6.080000000e+002	6.094000000e+001	2.176428571e+000	9.852383853e-001	7.440000000e+002	3.560000000e+002	4.060000000e+002	-5.000000000e+001	-4.400000000e+001	6.000000000e+000	0.000000000e+000	1.000000000e+000	7.080000000e+002	7.080000000e+001	1.220000000e+001	6.100000000e+000	9.999999995e-001	5.303423256e-010
6.090000000e+002	5.994000000e+001	2.140714286e+000	9.838514571e-001	6.530000000e+002	4.100000000e+002	3.180000000e+002	9.200000000e+001	1.000000000e+001	-8.200000000e+001	1.000000000e+000	0.000000000e+000	7.090000000e+002	7.090000000e+001	1.210000000e+001	6.050000000e+000	9.999999993e-001	7.242291211e-010
6.100000000e+002	5.894000000e+001	2.105000000e+000	9.823543460e-001	7.250000000e+002	3.290000000e+002	4.670000000e+002	-1.380000000e+002	-7.100000000e+001	6.700000000e+001	0.000000000e+000	1.000000000e+000	7.100000000e+002	7.100000000e+001	1.200000000e+001	6.000000000e+000	9.999999990e-001	9.865877004e-010
6.110000000e+002	5.794000000e+001	2.069285714e+000	9.807403583e-001	6.570000000e+002	3.990000000e+002	4.070000000e+002	-8.000000000e+000	-1.000000000e+000	7.000000000e+000	0.000000000e+000	1.000000000e+000	7.110000000e+002	7.110000000e+001	1.190000000e+001	5.950000000e+000	9.999999987e-001	1.340712430e-009
6.120000000e+002	5.694000000e+001	2.033571429e+000	9.790025875e-001	4.210000000e+002	3.500000000e+002	4.270000000e+002	-7.700000000e+001	-5.000000000e+001	2.700000000e+001	0.000000000e+000	1.000000000e+000	7.120000000e+002	7.120000000e+001	1.180000000e+001	5.900000000e+000	9.999999982e-001	1.817507811e-009
6.130000000e+002	5.594000000e+001	1.997857143e+000	9.771339249e-001	5.730000000e+002	3.840000000e+002	4.200000000e+002	-3.600000000e+001	-1.600000000e+001	2.000000000e+001	0.000000000e+000	1.000000000e+000	7.130000000e+002	7.130000000e+001	1.170000000e+001	5.850000000e+000	9.999999975e-001	2.457865023e-009
6.140000000e+002	5.494000000e+001	1.962142857e+000	9.751270727e-001	5.350000000e+002	3.160000000e+002	4.770000000e+002	-1.610000000e+002	-8.400000000e+001	7.700000000e+001	0.000000000e+000	1.000000000e+000	7.140000000e+002	7.140000000e+001	1.160000000e+001	5.800000000e+000	9.999999967e-001	3.315746011e-009
6.150000000e+002	5.394000000e+001	1.926428571e+000	9.729745586e-001	6.020000000e+002	2.720000000e+002	3.920000000e+002	-1.200000000e+002	-1.280000000e+002	-8.000000000e+000	0.000000000e+000	0.000000000e+000	7.150000000e+002	7.150000000e+001	1.150000000e+001	5.750000000e+000	9.999999955e-001	4.462172409e-009
6.160000000e+002	5.294000000e+001	1.890714286e+000	9.706687528e-001	5.370000000e+002	3.450000000e+002	4.300000000e+002	-8.500000000e+001	-5.500000000e+001	3.000000000e+001	0.000000000e+000	1.000000000e+000	7.160000000e+002	7.160000000e+001	1.140000000e+001	5.700000000e+000	9.999999940e-001	5.990371421e-009
6.170000000e+002	5.194000000e+001	1.855000000e+000	9.682018867e-001	4.050000000e+002	4.550000000e+002	3.390000000e+002	1.160000000e+002	5.500000000e+001	-6.100000000e+001	1.000000000e+000	0.000000000e+000	7.170000000e+002	7.170000000e+001	1.130000000e+001	5.650000000e+000	9.999999920e-001	8.022391862e-009
6.180000000e+002	5.094000000e+001	1.819285714e+000	9.655660741e-001	8.740000000e+002	3.600000000e+002	4.100000000e+002	-5.000000000e+001	-4.000000000e+001	1.000000000e+001	0.000000000e+000	1.000000000e+000	7.180000000e+002	7.180000000e+001	1.120000000e+001	5.600000000e+000	9.999999893e-001	1.071759026e-008
6.190000000e+002	4.994000000e+001	1.783571429e+000	9.627533341e-001	7.910000000e+002	4.310000000e+002	3.260000000e+002	1.050000000e+002	3.100000000e+001	-7.400000000e+001	1.000000000e+000	0.000000000e+000	7.190000000e+002	7.190000000e+001	1.110000000e+001	5.550000000e+000	9.999999857e-001	1.428347984e-008
6.200000000e+002	4.894000000e+001	1.747857143e+000	9.597556162e-001	7.210000000e+002								7.200000000e+002	7.200000000e+001	1.100000000e+001	5.500000000e+000	9.999999810e-001	1.898956248e-008
6.210000000e+002	4.794000000e+001	1.712142857e+000	9.565648275e-001	8.490000000e+002								7.210000000e+002	7.210000000e+001	1.090000000e+001	5.450000000e+000	9.999999748e-001	2.518491005e-008
6.220000000e+002	4.694000000e+001	1.676428571e+000	9.531728618e-001	5.670000000e+002								7.220000000e+002	7.220000000e+001	1.080000000e+001	5.400000000e+000	9.999999667e-001	3.332044851e-008
6.230000000e+002	4.594000000e+001	1.640714286e+000	9.495716310e-001	4.680000000e+002								7.230000000e+002	7.230000000e+001	1.070000000e+001	5.350000000e+000	9.999999560e-001	4.397711595e-008
6.240000000e+002	4.494000000e+001	1.605000000e+000	9.457530977e-001	9.750000000e+002								7.240000000e+002	7.240000000e+001	1.060000000e+001	5.300000000e+000	9.999999421e-001	5.790134039e-008
6.250000000e+002	4.394000000e+001	1.569285714e+000	9.417093102e-001									7.250000000e+002	7.250000000e+001	1.050000000e+001	5.250000000e+000	9.999999240e-001	7.604960517e-008
6.260000000e+002	4.294000000e+001	1.533571429e+000	9.374324391e-001									7.260000000e+002	7.260000000e+001	1.040000000e+001	5.200000000e+000	9.999999004e-001	9.964426317e-008
6.270000000e+002	4.194000000e+001	1.497857143e+000	9.329148147e-001									7.270000000e+002	7.270000000e+001	1.030000000e+001	5.150000000e+000	9.999998698e-001	1.302432295e-007
6.280000000e+002	4.094000000e+001	1.462142857e+000	9.281489667e-001									7.280000000e+002	7.280000000e+001	1.020000000e+001	5.100000000e+000	9.999998302e-001	1.698267407e-007
6.290000000e+002	3.994000000e+001	1.426428571e+000	9.231276643e-001									7.290000000e+002	7.290000000e+001	1.010000000e+001	5.050000000e+000	9.999997791e-001	2.209050323e-007
6.300000000e+002	3.894000000e+001	1.390714286e+000	9.178439581e-001									7.300000000e+002	7.300000000e+001	1.000000000e+001	5.000000000e+000	9.999997133e-001	2.866515718e-007
6.310000000e+002	3.794000000e+001	1.355000000e+000	9.122912215e-001									7.310000000e+002	7.310000000e+001	9.900000000e+000	4.950000000e+000	9.999996289e-001	3.710674079e-007
6.320000000e+002	3.694000000e+001	1.319285714e+000	9.064631940e-001									7.320000000e+002	7.320000000e+001	9.800000000e+000	4.900000000e+000	9.999995208e-001	4.791832766e-007
6.330000000e+002	3.594000000e+001	1.283571429e+000	9.003540240e-001									7.330000000e+002	7.330000000e+001	9.700000000e+000	4.850000000e+000	9.999993827e-001	6.173073720e-007
6.340000000e+002	3.494000000e+001	1.247857143e+000	8.939582990e-001									7.340000000e+002	7.340000000e+001	9.600000000e+000	4.800000000e+000	9.999992067e-001	7.933281519e-007
